Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1510099200000,0.041133,0.046194,0.0385,0.041421,74381.695,1510185599999,3089.33245632,55893,33009.038,1371.39533512,170293.23529459
1510185600000,0.0416,0.046249,0.04129,0.044871,60221.858,1510271999999,2651.70357017,45602,28007.278,1234.11320351,182606.27147864
1510272000000,0.044966,0.046692,0.043207,0.045549,63603.579,1510358399999,2846.69713019,37677,26960.705,1207.42478583,184373.23549784
1510358400000,0.045179,0.05148,0.044088,0.049649,66270.633,1510444799999,3125.21060067,44089,30692.194,1447.68323732,189047.13995797
1510444800000,0.049579,0.054,0.0452,0.052038,198379.991,1510531199999,9971.3059979,159519,96816.11,4873.09992681,194784.51476628
1510531200000,0.052094,0.054661,0.046378,0.048417,83870.87,1510617599999,4174.80184901,46921,40329.325,2007.29504515,193411.39559092
1510617600000,0.048329,0.052499,0.04727,0.051095,84058.246,1510703999999,4169.40607711,51914,40181.813,1990.41297922,210416.64859479
1510704000000,0.05099,0.051063,0.045,0.045535,63916.465,1510790399999,3047.04944197,40407,27855.467,1327.90567608,210061.7275302
1510790400000,0.045535,0.0465,0.041001,0.042006,85567.967,1510876799999,3771.53634378,47098,37671.845,1662.13683502,208793.34295029
1510876800000,0.042002,0.043738,0.040914,0.042902,80997.404,1510963199999,3425.14594844,43910,36283.836,1536.09131277,204195.19355885
1510963200000,0.043149,0.044999,0.0426,0.044625,79642.103,1511049599999,3456.70894221,40917,35684.9,1550.09910367,209185.67909234
1511049600000,0.044672,0.048836,0.042818,0.043969,94360.631,1511135999999,4301.99118411,47540,43707.782,1990.85914789,223647.70668788
1511136000000,0.043969,0.04561,0.043673,0.044715,101306.078,1511222399999,4508.66744891,56593,50613.398,2253.57963145,227357.06576793
1511222400000,0.044709,0.046394,0.044,0.044673,99497.472,1511308799999,4458.59936277,57055,44714.124,2005.0350804,236531.49066778
